Initializing GLUT...
Initializing OpenGL...
OpenGL Version: 4.6.0 - Build 27.20.100.8682
OpenGL Renderer: Intel(R) HD Graphics 630
Shading Language Version: 4.60 - Build 27.20.100.8682
Loaded 1 spline(s).
Num control points in spline 0: 13.
x: 1 y: 0 z: 0
x: 0.999999 y: 0.000294113 z: 0
x: 0.999996 y: 0.000588451 z: 0
x: 0.999991 y: 0.000883017 z: 0
x: 0.999983 y: 0.00117781 z: 0
x: 0.999974 y: 0.00147284 z: 0
x: 0.999963 y: 0.00176809 z: 0
x: 0.999949 y: 0.00206357 z: 0
x: 0.999934 y: 0.00235929 z: 0
x: 0.999916 y: 0.00265524 z: 0
x: 0.999897 y: 0.00295143 z: 0
x: 0.999875 y: 0.00324785 z: 0
x: 0.999852 y: 0.00354451 z: 0
x: 0.999826 y: 0.00384141 z: 0
x: 0.999799 y: 0.00413855 z: 0
x: 0.999769 y: 0.00443593 z: 0
x: 0.999738 y: 0.00473354 z: 0
x: 0.999704 y: 0.0050314 z: 0
x: 0.999668 y: 0.00532951 z: 0
x: 0.999631 y: 0.00562786 z: 0
x: 0.999591 y: 0.00592645 z: 0
x: 0.99955 y: 0.00622529 z: 0
x: 0.999506 y: 0.00652438 z: 0
x: 0.999461 y: 0.00682372 z: 0
x: 0.999414 y: 0.00712331 z: 0
x: 0.999364 y: 0.00742315 z: 0
x: 0.999313 y: 0.00772324 z: 0
x: 0.99926 y: 0.00802358 z: 0
x: 0.999204 y: 0.00832418 z: 0
x: 0.999147 y: 0.00862504 z: 0
x: 0.999088 y: 0.00892615 z: 0
x: 0.999027 y: 0.00922752 z: 0
x: 0.998964 y: 0.00952915 z: 0
x: 0.998899 y: 0.00983104 z: 0
x: 0.998833 y: 0.0101332 z: 0
x: 0.998764 y: 0.0104356 z: 0
x: 0.998694 y: 0.0107383 z: 0
x: 0.998621 y: 0.0110412 z: 0
x: 0.998547 y: 0.0113444 z: 0
x: 0.998471 y: 0.0116479 z: 0
x: 0.998393 y: 0.0119516 z: 0
x: 0.998313 y: 0.0122556 z: 0
x: 0.998231 y: 0.0125599 z: 0
x: 0.998147 y: 0.0128644 z: 0
x: 0.998062 y: 0.0131693 z: 0
x: 0.997974 y: 0.0134744 z: 0
x: 0.997885 y: 0.0137797 z: 0
x: 0.997794 y: 0.0140854 z: 0
x: 0.997701 y: 0.0143913 z: 0
x: 0.997606 y: 0.0146975 z: 0
x: 0.99751 y: 0.0150039 z: 0
x: 0.997411 y: 0.0153107 z: 0
x: 0.997311 y: 0.0156177 z: 0
x: 0.997209 y: 0.015925 z: 0
x: 0.997105 y: 0.0162326 z: 0
x: 0.996999 y: 0.0165405 z: 0
x: 0.996892 y: 0.0168487 z: 0
x: 0.996783 y: 0.0171571 z: 0
x: 0.996672 y: 0.0174659 z: 0
x: 0.996559 y: 0.0177749 z: 0
x: 0.996444 y: 0.0180842 z: 0
x: 0.996328 y: 0.0183938 z: 0
x: 0.99621 y: 0.0187037 z: 0
x: 0.99609 y: 0.0190139 z: 0
x: 0.995968 y: 0.0193244 z: 0
x: 0.995845 y: 0.0196352 z: 0
x: 0.99572 y: 0.0199462 z: 0
x: 0.995593 y: 0.0202576 z: 0
x: 0.995464 y: 0.0205693 z: 0
x: 0.995334 y: 0.0208812 z: 0
x: 0.995202 y: 0.0211935 z: 0
x: 0.995068 y: 0.0215061 z: 0
x: 0.994932 y: 0.0218189 z: 0
x: 0.994795 y: 0.0221321 z: 0
x: 0.994656 y: 0.0224456 z: 0
x: 0.994516 y: 0.0227594 z: 0
x: 0.994373 y: 0.0230735 z: 0
x: 0.994229 y: 0.0233879 z: 0
x: 0.994083 y: 0.0237026 z: 0
x: 0.993936 y: 0.0240176 z: 0
x: 0.993787 y: 0.0243329 z: 0
x: 0.993636 y: 0.0246486 z: 0
x: 0.993484 y: 0.0249645 z: 0
x: 0.99333 y: 0.0252808 z: 0
x: 0.993174 y: 0.0255974 z: 0
x: 0.993017 y: 0.0259143 z: 0
x: 0.992858 y: 0.0262315 z: 0
x: 0.992697 y: 0.026549 z: 0
x: 0.992535 y: 0.0268669 z: 0
x: 0.992371 y: 0.0271851 z: 0
x: 0.992205 y: 0.0275036 z: 0
x: 0.992038 y: 0.0278224 z: 0
x: 0.991869 y: 0.0281415 z: 0
x: 0.991699 y: 0.028461 z: 0
x: 0.991527 y: 0.0287808 z: 0
x: 0.991353 y: 0.0291009 z: 0
x: 0.991178 y: 0.0294214 z: 0
x: 0.991001 y: 0.0297422 z: 0
x: 0.990823 y: 0.0300633 z: 0
x: 0.990643 y: 0.0303847 z: 0
x: 0.990461 y: 0.0307065 z: 0
x: 0.990278 y: 0.0310286 z: 0
x: 0.990094 y: 0.0313511 z: 0
x: 0.989908 y: 0.0316738 z: 0
x: 0.98972 y: 0.031997 z: 0
x: 0.98953 y: 0.0323204 z: 0
x: 0.98934 y: 0.0326442 z: 0
x: 0.989147 y: 0.0329684 z: 0
x: 0.988953 y: 0.0332928 z: 0
x: 0.988758 y: 0.0336177 z: 0
x: 0.988561 y: 0.0339428 z: 0
x: 0.988362 y: 0.0342683 z: 0
x: 0.988162 y: 0.0345942 z: 0
x: 0.987961 y: 0.0349204 z: 0
x: 0.987758 y: 0.035247 z: 0
x: 0.987553 y: 0.0355739 z: 0
x: 0.987347 y: 0.0359011 z: 0
x: 0.98714 y: 0.0362287 z: 0
x: 0.986931 y: 0.0365567 z: 0
x: 0.98672 y: 0.036885 z: 0
x: 0.986508 y: 0.0372136 z: 0
x: 0.986295 y: 0.0375427 z: 0
x: 0.98608 y: 0.037872 z: 0
x: 0.985864 y: 0.0382018 z: 0
x: 0.985646 y: 0.0385319 z: 0
x: 0.985427 y: 0.0388623 z: 0
x: 0.985206 y: 0.0391931 z: 0
x: 0.984984 y: 0.0395243 z: 0
x: 0.98476 y: 0.0398558 z: 0
x: 0.984535 y: 0.0401877 z: 0
x: 0.984309 y: 0.04052 z: 0
x: 0.984081 y: 0.0408526 z: 0
x: 0.983852 y: 0.0411856 z: 0
x: 0.983621 y: 0.041519 z: 0
x: 0.983389 y: 0.0418528 z: 0
x: 0.983156 y: 0.0421869 z: 0
x: 0.982921 y: 0.0425214 z: 0
x: 0.982685 y: 0.0428562 z: 0
x: 0.982447 y: 0.0431914 z: 0
x: 0.982209 y: 0.0435271 z: 0
x: 0.981968 y: 0.043863 z: 0
x: 0.981727 y: 0.0441994 z: 0
x: 0.981483 y: 0.0445361 z: 0
x: 0.981239 y: 0.0448733 z: 0
x: 0.980993 y: 0.0452108 z: 0
x: 0.980746 y: 0.0455486 z: 0
x: 0.980498 y: 0.0458869 z: 0
x: 0.980248 y: 0.0462256 z: 0
x: 0.979997 y: 0.0465646 z: 0
x: 0.979744 y: 0.046904 z: 0
x: 0.979491 y: 0.0472438 z: 0
x: 0.979236 y: 0.047584 z: 0
x: 0.978979 y: 0.0479246 z: 0
x: 0.978722 y: 0.0482656 z: 0
x: 0.978463 y: 0.0486069 z: 0
x: 0.978202 y: 0.0489487 z: 0
x: 0.977941 y: 0.0492908 z: 0
x: 0.977678 y: 0.0496334 z: 0
x: 0.977414 y: 0.0499763 z: 0
x: 0.977148 y: 0.0503197 z: 0
x: 0.976882 y: 0.0506634 z: 0
x: 0.976614 y: 0.0510076 z: 0
x: 0.976345 y: 0.0513521 z: 0
x: 0.976074 y: 0.051697 z: 0
x: 0.975802 y: 0.0520424 z: 0
x: 0.975529 y: 0.0523881 z: 0
x: 0.975255 y: 0.0527343 z: 0
x: 0.97498 y: 0.0530808 z: 0
x: 0.974703 y: 0.0534278 z: 0
x: 0.974425 y: 0.0537752 z: 0
x: 0.974146 y: 0.054123 z: 0
x: 0.973866 y: 0.0544712 z: 0
x: 0.973584 y: 0.0548198 z: 0
x: 0.973302 y: 0.0551688 z: 0
x: 0.973018 y: 0.0555182 z: 0
x: 0.972733 y: 0.055868 z: 0
x: 0.972446 y: 0.0562183 z: 0
x: 0.972159 y: 0.056569 z: 0
x: 0.97187 y: 0.0569201 z: 0
x: 0.97158 y: 0.0572716 z: 0
x: 0.971289 y: 0.0576235 z: 0
x: 0.970997 y: 0.0579759 z: 0
x: 0.970704 y: 0.0583286 z: 0
x: 0.970409 y: 0.0586818 z: 0
x: 0.970114 y: 0.0590355 z: 0
x: 0.969817 y: 0.0593895 z: 0
x: 0.969519 y: 0.059744 z: 0
x: 0.96922 y: 0.0600989 z: 0
x: 0.96892 y: 0.0604542 z: 0
x: 0.968619 y: 0.06081 z: 0
x: 0.968316 y: 0.0611662 z: 0
x: 0.968013 y: 0.0615228 z: 0
x: 0.967708 y: 0.0618798 z: 0
